redemption_id,customer_id,campaign_id,offer_type,redemption_date,redemption_value_usd
RDM000027,ACQ000047,CMP00002,Dining Rewards Boost,2025-02-22,274.14
RDM000028,ACQ000050,CMP00002,Dining Rewards Boost,2025-01-31,245.19
RDM000029,ACQ000051,CMP00002,Dining Rewards Boost,2025-01-25,109.64
RDM000030,ACQ000052,CMP00002,Dining Rewards Boost,2025-03-01,252.32
RDM000031,ACQ000053,CMP00002,Dining Rewards Boost,2025-03-15,125.58
RDM000032,ACQ000054,CMP00002,Dining Rewards Boost,2025-03-02,220.46
RDM000033,ACQ000055,CMP00002,Dining Rewards Boost,2025-02-27,299.61
RDM000034,ACQ000057,CMP00002,Dining Rewards Boost,2025-03-03,93.75
RDM000035,ACQ000058,CMP00002,Dining Rewards Boost,2025-02-16,238.18
RDM000036,ACQ000060,CMP00002,Dining Rewards Boost,2025-03-01,87.21
RDM000037,ACQ000061,CMP00002,Dining Rewards Boost,2025-02-20,170.88
RDM000038,ACQ000062,CMP00002,Dining Rewards Boost,2025-03-02,291.94
RDM000039,ACQ000064,CMP00002,Dining Rewards Boost,2025-02-18,106.47
RDM000040,ACQ000065,CMP00002,Dining Rewards Boost,2025-02-28,51.8
RDM000041,ACQ000066,CMP00002,Dining Rewards Boost,2025-02-05,274.79
RDM000042,ACQ000068,CMP00002,Dining Rewards Boost,2025-01-25,195.08
RDM000043,ACQ000069,CMP00002,Dining Rewards Boost,2025-01-29,110.33
RDM000044,ACQ000070,CMP00002,Dining Rewards Boost,2025-03-18,88.59
RDM000045,ACQ000071,CMP00002,Dining Rewards Boost,2025-02-13,164.79
RDM000046,ACQ000072,CMP00002,Dining Rewards Boost,2025-02-16,84.47
RDM000047,ACQ000073,CMP00002,Dining Rewards Boost,2025-02-23,74.3
RDM000048,ACQ000074,CMP00002,Dining Rewards Boost,2025-01-29,199.29
RDM000049,ACQ000075,CMP00002,Dining Rewards Boost,2025-03-03,229.71
RDM000050,ACQ000076,CMP00002,Dining Rewards Boost,2025-02-14,281.24
RDM000051,ACQ000078,CMP00002,Dining Rewards Boost,2025-02-21,81.62
RDM000052,ACQ000082,CMP00002,Dining Rewards Boost,2025-02-20,217.1
RDM000053,ACQ000083,CMP00002,Dining Rewards Boost,2025-02-11,91.12
RDM000054,ACQ000084,CMP00002,Dining Rewards Boost,2025-02-03,77.76
RDM000055,ACQ000085,CMP00002,Dining Rewards Boost,2025-01-31,263.65
RDM000056,ACQ000086,CMP00002,Dining Rewards Boost,2025-02-13,116.75
RDM000057,ACQ000088,CMP00002,Dining Rewards Boost,2025-03-14,118.06
RDM000058,ACQ000089,CMP00002,Dining Rewards Boost,2025-03-16,276.75
RDM000059,ACQ000090,CMP00002,Dining Rewards Boost,2025-03-07,225.2
RDM000060,ACQ000092,CMP00002,Dining Rewards Boost,2025-02-18,134.3
RDM000061,ACQ000093,CMP00002,Dining Rewards Boost,2025-03-02,112.82
RDM000062,ACQ000094,CMP00002,Dining Rewards Boost,2025-02-05,112.01
RDM000063,ACQ000097,CMP00002,Dining Rewards Boost,2025-02-10,294.7
RDM000064,ACQ000098,CMP00002,Dining Rewards Boost,2025-01-28,281.46
RDM000065,ACQ000101,CMP00002,Dining Rewards Boost,2025-01-23,87.74
RDM000066,ACQ000102,CMP00002,Dining Rewards Boost,2025-02-23,163.02
RDM000067,ACQ000103,CMP00002,Dining Rewards Boost,2025-03-21,228.75
RDM000068,ACQ000105,CMP00002,Dining Rewards Boost,2025-03-24,295.89
RDM000069,ACQ000106,CMP00002,Dining Rewards Boost,2025-03-22,139.35
RDM000070,ACQ000107,CMP00002,Dining Rewards Boost,2025-02-09,59.07
RDM000071,ACQ000108,CMP00002,Dining Rewards Boost,2025-01-24,217.12
RDM000072,ACQ000109,CMP00002,Dining Rewards Boost,2025-02-17,133.9
RDM000073,ACQ000111,CMP00002,Dining Rewards Boost,2025-02-28,299.16
RDM000074,ACQ000112,CMP00002,Dining Rewards Boost,2025-01-06,179.89
RDM000075,ACQ000116,CMP00002,Dining Rewards Boost,2025-03-05,100.19
RDM000076,ACQ000117,CMP00002,Dining Rewards Boost,2025-02-11,55.98
RDM000077,ACQ000118,CMP00002,Dining Rewards Boost,2025-03-05,157.6
RDM000078,ACQ000120,CMP00002,Dining Rewards Boost,2025-02-03,210.35
RDM000079,ACQ000122,CMP00002,Dining Rewards Boost,2025-02-20,200.44
RDM000080,ACQ000123,CMP00002,Dining Rewards Boost,2025-01-15,66.03
RDM000081,ACQ000124,CMP00002,Dining Rewards Boost,2025-02-16,157.34
RDM000082,ACQ000125,CMP00002,Dining Rewards Boost,2025-03-15,80.9
RDM000083,ACQ000126,CMP00002,Dining Rewards Boost,2025-03-01,296.38
RDM000084,ACQ000127,CMP00002,Dining Rewards Boost,2025-03-22,127.82
RDM000085,ACQ000128,CMP00002,Dining Rewards Boost,2025-03-13,275.94
RDM000086,ACQ000129,CMP00002,Dining Rewards Boost,2025-02-09,279.19
RDM000087,ACQ000130,CMP00002,Dining Rewards Boost,2025-03-05,168.5
RDM000088,ACQ000131,CMP00002,Dining Rewards Boost,2025-02-23,162.54
RDM000089,ACQ000132,CMP00002,Dining Rewards Boost,2025-03-08,99.96
RDM000090,ACQ000133,CMP00002,Dining Rewards Boost,2025-02-20,290.48
RDM000091,ACQ000136,CMP00002,Dining Rewards Boost,2025-03-08,116.55
RDM000092,ACQ000137,CMP00002,Dining Rewards Boost,2025-02-18,137.92
RDM000093,ACQ000138,CMP00002,Dining Rewards Boost,2025-01-28,222.18
RDM000094,ACQ000139,CMP00002,Dining Rewards Boost,2025-03-15,92.3
RDM000095,ACQ000140,CMP00002,Dining Rewards Boost,2025-02-15,279.02
RDM000096,ACQ000141,CMP00002,Dining Rewards Boost,2025-02-07,253.77
RDM000097,ACQ000144,CMP00002,Dining Rewards Boost,2025-03-05,162.72
RDM000098,ACQ000145,CMP00002,Dining Rewards Boost,2025-03-09,280.2
RDM000099,ACQ000147,CMP00002,Dining Rewards Boost,2025-01-25,231.24
RDM000100,ACQ000148,CMP00002,Dining Rewards Boost,2025-02-25,259.21
RDM000101,ACQ000150,CMP00002,Dining Rewards Boost,2025-01-30,148.18
RDM000102,ACQ000151,CMP00002,Dining Rewards Boost,2025-03-04,92.01
RDM000103,ACQ000152,CMP00002,Dining Rewards Boost,2025-02-19,139.97
RDM000104,ACQ000153,CMP00002,Dining Rewards Boost,2025-01-21,132.1
RDM000105,ACQ000155,CMP00002,Dining Rewards Boost,2025-02-26,293.67
RDM000106,ACQ000157,CMP00002,Dining Rewards Boost,2025-01-06,131.98
RDM000107,ACQ000158,CMP00002,Dining Rewards Boost,2025-02-06,127.49
RDM000108,ACQ000161,CMP00002,Dining Rewards Boost,2025-01-29,126.64
RDM000109,ACQ000162,CMP00002,Dining Rewards Boost,2025-01-25,101.32
RDM000110,ACQ000163,CMP00002,Dining Rewards Boost,2025-02-10,248.21
RDM000111,ACQ000166,CMP00002,Dining Rewards Boost,2025-02-20,271.66
RDM000112,ACQ000168,CMP00002,Dining Rewards Boost,2025-01-20,141.6
RDM000113,ACQ000169,CMP00002,Dining Rewards Boost,2025-02-17,247.01
RDM000114,ACQ000170,CMP00002,Dining Rewards Boost,2025-03-02,64.67
RDM000115,ACQ000172,CMP00002,Dining Rewards Boost,2025-01-22,101.34
RDM000116,ACQ000173,CMP00002,Dining Rewards Boost,2025-01-18,215.27
RDM000117,ACQ000174,CMP00002,Dining Rewards Boost,2025-03-09,193.86
RDM000118,ACQ000175,CMP00002,Dining Rewards Boost,2025-02-16,168.87
RDM000119,ACQ000176,CMP00002,Dining Rewards Boost,2025-02-02,100.05
RDM000120,ACQ000178,CMP00002,Dining Rewards Boost,2025-03-02,217.07
RDM000121,ACQ000180,CMP00002,Dining Rewards Boost,2025-03-14,112.47
RDM000122,ACQ000181,CMP00002,Dining Rewards Boost,2025-02-17,252.94
RDM000123,ACQ000183,CMP00002,Dining Rewards Boost,2025-02-16,100.75
RDM000124,ACQ000184,CMP00002,Dining Rewards Boost,2025-03-09,216.94
RDM000125,ACQ000185,CMP00002,Dining Rewards Boost,2025-03-15,91.68
RDM000126,ACQ000186,CMP00002,Dining Rewards Boost,2025-03-03,130.19
RDM000127,ACQ000187,CMP00002,Dining Rewards Boost,2025-03-12,68.52
RDM000128,ACQ000188,CMP00002,Dining Rewards Boost,2025-03-10,252.74
RDM000129,ACQ000190,CMP00002,Dining Rewards Boost,2025-02-06,285.71
RDM000130,ACQ000192,CMP00002,Dining Rewards Boost,2025-01-26,99.52
RDM000131,ACQ000193,CMP00002,Dining Rewards Boost,2025-02-28,210.74
RDM000132,ACQ000195,CMP00002,Dining Rewards Boost,2025-01-19,251.91
RDM000133,ACQ000197,CMP00002,Dining Rewards Boost,2025-02-13,87.14
RDM000134,ACQ000199,CMP00002,Dining Rewards Boost,2025-02-28,274.5
RDM000135,ACQ000200,CMP00002,Dining Rewards Boost,2025-01-30,94.35
RDM000136,ACQ000203,CMP00002,Dining Rewards Boost,2025-02-26,287.33
RDM000137,ACQ000205,CMP00002,Dining Rewards Boost,2025-03-19,159.97
RDM000138,ACQ000207,CMP00002,Dining Rewards Boost,2025-02-03,265.13
RDM000139,ACQ000208,CMP00002,Dining Rewards Boost,2025-03-05,87.83
RDM000140,ACQ000209,CMP00002,Dining Rewards Boost,2025-02-16,114.39
RDM000141,ACQ000210,CMP00002,Dining Rewards Boost,2025-02-01,101.65
RDM000142,ACQ000211,CMP00002,Dining Rewards Boost,2025-02-05,213.35
RDM000143,ACQ000215,CMP00002,Dining Rewards Boost,2025-02-03,93.94
RDM000144,ACQ000217,CMP00002,Dining Rewards Boost,2025-03-10,251.47
RDM000145,ACQ000219,CMP00002,Dining Rewards Boost,2025-02-26,161.78
RDM000146,ACQ000220,CMP00002,Dining Rewards Boost,2025-03-07,262.15
RDM000147,ACQ000222,CMP00002,Dining Rewards Boost,2025-02-19,150.36
RDM000148,ACQ000227,CMP00002,Dining Rewards Boost,2025-02-14,78.56
RDM000149,ACQ000228,CMP00002,Dining Rewards Boost,2025-01-29,251.18
RDM000150,ACQ000229,CMP00002,Dining Rewards Boost,2025-01-16,118.23
RDM000151,ACQ000230,CMP00002,Dining Rewards Boost,2025-03-05,68.34
RDM000152,ACQ000231,CMP00002,Dining Rewards Boost,2025-03-04,170.52
RDM000153,ACQ000232,CMP00002,Dining Rewards Boost,2025-02-28,193.29
RDM000154,ACQ000233,CMP00002,Dining Rewards Boost,2025-03-11,262.53
RDM000155,ACQ000234,CMP00002,Dining Rewards Boost,2025-02-02,286.79
RDM000156,ACQ000235,CMP00002,Dining Rewards Boost,2025-03-13,270.63
RDM000157,ACQ000238,CMP00002,Dining Rewards Boost,2025-03-10,179.67
RDM000158,ACQ000239,CMP00002,Dining Rewards Boost,2025-01-30,50.93
RDM000159,ACQ000240,CMP00002,Dining Rewards Boost,2025-02-28,280.84
RDM000160,ACQ000242,CMP00002,Dining Rewards Boost,2025-01-18,248.67
RDM000161,ACQ000243,CMP00002,Dining Rewards Boost,2025-03-28,113.05
RDM000162,ACQ000244,CMP00002,Dining Rewards Boost,2025-02-04,271.38
RDM000163,ACQ000247,CMP00002,Dining Rewards Boost,2025-03-01,60.53
RDM000164,ACQ000248,CMP00002,Dining Rewards Boost,2025-03-20,98.59
RDM000165,ACQ000249,CMP00002,Dining Rewards Boost,2025-01-17,225.18
RDM000166,ACQ000251,CMP00002,Dining Rewards Boost,2025-02-15,94.03
RDM000167,ACQ000252,CMP00002,Dining Rewards Boost,2025-02-27,169.26
RDM000168,ACQ000253,CMP00002,Dining Rewards Boost,2025-03-01,101.38
RDM000169,ACQ000254,CMP00002,Dining Rewards Boost,2025-02-27,75.33
RDM000170,ACQ000256,CMP00002,Dining Rewards Boost,2025-03-19,168.97
RDM000171,ACQ000258,CMP00002,Dining Rewards Boost,2025-03-23,228.47
RDM000172,ACQ000259,CMP00002,Dining Rewards Boost,2025-02-25,86.83
RDM000173,ACQ000260,CMP00002,Dining Rewards Boost,2025-03-11,72.26
RDM000174,ACQ000261,CMP00002,Dining Rewards Boost,2025-03-17,290.28
RDM000175,ACQ000263,CMP00002,Dining Rewards Boost,2025-01-24,207.56
RDM000176,ACQ000264,CMP00002,Dining Rewards Boost,2025-01-28,71.9
RDM000177,ACQ000265,CMP00002,Dining Rewards Boost,2025-01-29,80.47
RDM000178,ACQ000266,CMP00002,Dining Rewards Boost,2025-02-11,267.18
RDM000179,ACQ000268,CMP00002,Dining Rewards Boost,2025-02-26,281.96
RDM000180,ACQ000269,CMP00002,Dining Rewards Boost,2025-02-16,102.24
RDM000181,ACQ000270,CMP00002,Dining Rewards Boost,2025-03-01,145.35
RDM000182,ACQ000271,CMP00002,Dining Rewards Boost,2025-03-02,283.07
RDM000183,ACQ000273,CMP00002,Dining Rewards Boost,2025-01-30,108.62
RDM000184,ACQ000274,CMP00002,Dining Rewards Boost,2025-02-02,161.74
RDM000185,ACQ000275,CMP00002,Dining Rewards Boost,2025-02-13,231.93
RDM000186,ACQ000277,CMP00002,Dining Rewards Boost,2025-02-28,163.42
RDM000187,ACQ000278,CMP00002,Dining Rewards Boost,2025-01-28,239.81
RDM000188,ACQ000279,CMP00002,Dining Rewards Boost,2025-01-19,192.49
RDM000189,ACQ000281,CMP00002,Dining Rewards Boost,2025-03-07,102.85
RDM000190,ACQ000282,CMP00002,Dining Rewards Boost,2025-02-02,142.64
RDM000191,ACQ000284,CMP00002,Dining Rewards Boost,2025-03-20,248.39
RDM000192,ACQ000285,CMP00002,Dining Rewards Boost,2025-02-04,53.26
RDM000193,ACQ000286,CMP00002,Dining Rewards Boost,2025-02-01,146.25
RDM000194,ACQ000287,CMP00002,Dining Rewards Boost,2025-01-30,99.32
RDM000195,ACQ000291,CMP00002,Dining Rewards Boost,2025-02-20,226.06
RDM000196,ACQ000292,CMP00002,Dining Rewards Boost,2025-01-31,94.84
RDM000197,ACQ000293,CMP00002,Dining Rewards Boost,2025-02-25,185.6
RDM000198,ACQ000295,CMP00002,Dining Rewards Boost,2025-02-22,169.53
RDM000199,ACQ000296,CMP00002,Dining Rewards Boost,2025-02-16,68.89
RDM000200,ACQ000298,CMP00002,Dining Rewards Boost,2025-01-18,242.58
RDM000201,ACQ000299,CMP00002,Dining Rewards Boost,2025-01-20,262.95
RDM000202,ACQ000300,CMP00002,Dining Rewards Boost,2025-02-05,164.17
RDM000203,ACQ000301,CMP00002,Dining Rewards Boost,2025-01-05,97.17
RDM000204,ACQ000302,CMP00002,Dining Rewards Boost,2025-03-13,100.34
RDM000205,ACQ000303,CMP00002,Dining Rewards Boost,2025-02-18,189.48
RDM000206,ACQ000304,CMP00002,Dining Rewards Boost,2025-02-11,51.4
RDM000207,ACQ000305,CMP00002,Dining Rewards Boost,2025-02-09,115.32
RDM000208,ACQ000306,CMP00002,Dining Rewards Boost,2025-02-13,221.64
RDM000209,ACQ000308,CMP00002,Dining Rewards Boost,2025-02-27,56.31
RDM000210,ACQ000309,CMP00002,Dining Rewards Boost,2025-02-03,196.7
RDM000211,ACQ000310,CMP00002,Dining Rewards Boost,2025-03-17,221.72
RDM000212,ACQ000312,CMP00002,Dining Rewards Boost,2025-02-04,81.33
RDM000213,ACQ000316,CMP00002,Dining Rewards Boost,2025-02-28,124.04
RDM000214,ACQ000318,CMP00002,Dining Rewards Boost,2025-01-28,50.45
RDM000215,ACQ000320,CMP00002,Dining Rewards Boost,2025-01-26,161.95
RDM000216,ACQ000321,CMP00002,Dining Rewards Boost,2025-01-23,275.51
RDM000217,ACQ000322,CMP00002,Dining Rewards Boost,2025-02-01,143.78
RDM000218,ACQ000323,CMP00002,Dining Rewards Boost,2025-02-17,82.82
RDM000219,ACQ000326,CMP00002,Dining Rewards Boost,2025-01-15,201.45
RDM000220,ACQ000327,CMP00002,Dining Rewards Boost,2025-01-18,168.83
RDM000221,ACQ000328,CMP00002,Dining Rewards Boost,2025-02-06,291.1
RDM000222,ACQ000329,CMP00002,Dining Rewards Boost,2025-01-20,271.62
RDM000223,ACQ000330,CMP00002,Dining Rewards Boost,2025-01-29,82.98
RDM000224,ACQ000331,CMP00002,Dining Rewards Boost,2025-03-04,259.71
RDM000225,ACQ000332,CMP00002,Dining Rewards Boost,2025-02-13,91.79
RDM000226,ACQ000333,CMP00002,Dining Rewards Boost,2025-01-31,124.06
RDM000227,ACQ000334,CMP00002,Dining Rewards Boost,2025-02-23,274.04
RDM000228,ACQ000336,CMP00002,Dining Rewards Boost,2025-02-16,140.35
RDM000229,ACQ000337,CMP00002,Dining Rewards Boost,2025-03-06,146.83
RDM000230,ACQ000338,CMP00002,Dining Rewards Boost,2025-02-22,220.19
RDM000231,ACQ000339,CMP00002,Dining Rewards Boost,2025-03-20,178.47
RDM000232,ACQ000340,CMP00002,Dining Rewards Boost,2025-02-15,168.6
RDM000233,ACQ000341,CMP00002,Dining Rewards Boost,2025-01-28,270.91
RDM000234,ACQ000342,CMP00002,Dining Rewards Boost,2025-03-03,151.03
RDM000235,ACQ000346,CMP00002,Dining Rewards Boost,2025-02-28,254.59
RDM000236,ACQ000347,CMP00002,Dining Rewards Boost,2025-02-22,170.73
RDM000237,ACQ000348,CMP00002,Dining Rewards Boost,2025-01-26,281.63
RDM000238,ACQ000350,CMP00002,Dining Rewards Boost,2025-02-15,162.8
RDM000239,ACQ000352,CMP00002,Dining Rewards Boost,2025-03-05,140.97
RDM000240,ACQ000353,CMP00002,Dining Rewards Boost,2025-01-29,63.77
RDM000241,ACQ000355,CMP00002,Dining Rewards Boost,2025-01-29,205.7
RDM000242,ACQ000356,CMP00002,Dining Rewards Boost,2025-03-21,123.73
RDM000243,ACQ000357,CMP00002,Dining Rewards Boost,2025-02-08,266.51
RDM000244,ACQ000359,CMP00002,Dining Rewards Boost,2025-01-26,135.38
RDM000245,ACQ000361,CMP00002,Dining Rewards Boost,2025-02-22,175.28
RDM000246,ACQ000362,CMP00002,Dining Rewards Boost,2025-01-21,187.67
RDM000247,ACQ000363,CMP00002,Dining Rewards Boost,2025-02-18,146.4
RDM000248,ACQ000366,CMP00002,Dining Rewards Boost,2025-02-07,248.45
RDM000249,ACQ000367,CMP00002,Dining Rewards Boost,2025-02-23,199.55
RDM000250,ACQ000368,CMP00002,Dining Rewards Boost,2025-02-18,280.5
RDM000251,ACQ000369,CMP00002,Dining Rewards Boost,2025-02-07,236.85
RDM000252,ACQ000370,CMP00002,Dining Rewards Boost,2025-02-25,77.4
RDM000253,ACQ000372,CMP00002,Dining Rewards Boost,2025-01-06,144.72
RDM000254,ACQ000375,CMP00002,Dining Rewards Boost,2025-03-03,109.33
RDM000255,ACQ000377,CMP00002,Dining Rewards Boost,2025-03-10,182.86
RDM000256,ACQ000379,CMP00002,Dining Rewards Boost,2025-02-24,105.2
RDM000257,ACQ000380,CMP00002,Dining Rewards Boost,2025-02-13,231.64
RDM000258,ACQ000381,CMP00002,Dining Rewards Boost,2025-02-22,147.67
RDM000259,ACQ000382,CMP00002,Dining Rewards Boost,2025-02-11,243.01
RDM000260,ACQ000383,CMP00002,Dining Rewards Boost,2025-03-03,158.48
RDM000261,ACQ000384,CMP00002,Dining Rewards Boost,2025-02-23,67.86
RDM000262,ACQ000386,CMP00002,Dining Rewards Boost,2025-03-05,271.01
RDM000263,ACQ000390,CMP00002,Dining Rewards Boost,2025-02-03,94.75
RDM000264,ACQ000391,CMP00002,Dining Rewards Boost,2025-01-09,173.25
RDM000265,ACQ000392,CMP00002,Dining Rewards Boost,2025-02-28,125.39
RDM000266,ACQ000393,CMP00002,Dining Rewards Boost,2025-01-27,84.28
RDM000267,ACQ000394,CMP00002,Dining Rewards Boost,2025-03-06,111.99
RDM000268,ACQ000396,CMP00002,Dining Rewards Boost,2025-03-08,95.24
RDM000269,ACQ000397,CMP00002,Dining Rewards Boost,2025-02-05,256.46
RDM000270,ACQ000399,CMP00002,Dining Rewards Boost,2025-02-24,239.91
RDM000271,ACQ000400,CMP00002,Dining Rewards Boost,2025-03-02,134.83
RDM000272,ACQ000402,CMP00002,Dining Rewards Boost,2025-03-04,278.96
RDM000273,ACQ000404,CMP00002,Dining Rewards Boost,2025-03-12,227.5
RDM000274,ACQ000405,CMP00002,Dining Rewards Boost,2025-02-12,187.16
RDM000275,ACQ000406,CMP00002,Dining Rewards Boost,2025-01-27,91.64
RDM000276,ACQ000408,CMP00002,Dining Rewards Boost,2025-03-13,240.2
RDM000277,ACQ000412,CMP00002,Dining Rewards Boost,2025-02-06,273.84
RDM000278,ACQ000415,CMP00002,Dining Rewards Boost,2025-01-24,296.27
RDM000279,ACQ000416,CMP00002,Dining Rewards Boost,2025-03-04,135.32
RDM000280,ACQ000418,CMP00002,Dining Rewards Boost,2025-01-25,128.93
RDM000281,ACQ000420,CMP00002,Dining Rewards Boost,2025-02-21,230.68
RDM000282,ACQ000423,CMP00002,Dining Rewards Boost,2025-02-12,141.95
RDM000283,ACQ000424,CMP00002,Dining Rewards Boost,2025-02-05,156.55
RDM000284,ACQ000425,CMP00002,Dining Rewards Boost,2025-03-08,103.58
RDM000285,ACQ000427,CMP00002,Dining Rewards Boost,2025-03-29,277.93
RDM000286,ACQ000428,CMP00002,Dining Rewards Boost,2025-01-30,127.09
RDM000287,ACQ000429,CMP00002,Dining Rewards Boost,2025-03-11,70.1
RDM000288,ACQ000432,CMP00002,Dining Rewards Boost,2025-02-08,180.3
RDM000289,ACQ000433,CMP00002,Dining Rewards Boost,2025-02-09,215.05
RDM000290,ACQ000435,CMP00002,Dining Rewards Boost,2025-03-08,86.66
RDM000291,ACQ000437,CMP00002,Dining Rewards Boost,2025-01-29,275.25
RDM000292,ACQ000439,CMP00002,Dining Rewards Boost,2025-03-08,286.64
RDM000293,ACQ000440,CMP00002,Dining Rewards Boost,2025-03-25,58.48
RDM000294,ACQ000442,CMP00002,Dining Rewards Boost,2025-02-09,268.12
RDM000295,ACQ000443,CMP00002,Dining Rewards Boost,2025-03-10,279.71
RDM000296,ACQ000444,CMP00002,Dining Rewards Boost,2025-03-07,295.97
RDM000297,ACQ000445,CMP00002,Dining Rewards Boost,2025-03-25,152.22
RDM000298,ACQ000446,CMP00002,Dining Rewards Boost,2025-03-04,115.07
RDM000299,ACQ000447,CMP00002,Dining Rewards Boost,2025-02-19,58.98
RDM000300,ACQ000448,CMP00002,Dining Rewards Boost,2025-03-07,234.6
RDM000301,ACQ000449,CMP00002,Dining Rewards Boost,2025-03-08,125.56
RDM000302,ACQ000451,CMP00002,Dining Rewards Boost,2025-01-17,279.52
RDM000303,ACQ000452,CMP00002,Dining Rewards Boost,2025-01-23,168.96
RDM000304,ACQ000454,CMP00002,Dining Rewards Boost,2025-02-08,59.06
RDM000305,ACQ000455,CMP00002,Dining Rewards Boost,2025-02-11,286.38
RDM000306,ACQ000456,CMP00002,Dining Rewards Boost,2025-03-10,281.36
RDM000307,ACQ000457,CMP00002,Dining Rewards Boost,2025-02-19,173.13
RDM000308,ACQ000458,CMP00002,Dining Rewards Boost,2025-02-04,216.9
RDM000309,ACQ000460,CMP00002,Dining Rewards Boost,2025-03-04,284.54
RDM000310,ACQ000461,CMP00002,Dining Rewards Boost,2025-02-03,69.27
RDM000311,ACQ000463,CMP00002,Dining Rewards Boost,2025-03-06,157.73
RDM000312,ACQ000464,CMP00002,Dining Rewards Boost,2025-01-30,215.4
RDM000313,ACQ000466,CMP00002,Dining Rewards Boost,2025-03-16,165.04
RDM000314,ACQ000467,CMP00002,Dining Rewards Boost,2025-01-28,202.6
RDM000315,ACQ000469,CMP00002,Dining Rewards Boost,2025-01-28,294.78
RDM000316,ACQ000470,CMP00002,Dining Rewards Boost,2025-02-06,113.21
RDM000317,ACQ000471,CMP00002,Dining Rewards Boost,2025-02-04,227.54
RDM000318,ACQ000474,CMP00002,Dining Rewards Boost,2025-01-22,173.89
RDM000319,ACQ000475,CMP00002,Dining Rewards Boost,2025-03-14,214.05
RDM000320,ACQ000476,CMP00002,Dining Rewards Boost,2025-03-11,229.15
RDM000321,ACQ000478,CMP00002,Dining Rewards Boost,2025-03-20,185.7
RDM000322,ACQ000484,CMP00002,Dining Rewards Boost,2025-03-03,292.94
RDM000323,ACQ000485,CMP00002,Dining Rewards Boost,2025-01-29,242.73
RDM000324,ACQ000487,CMP00002,Dining Rewards Boost,2025-02-22,282.43
RDM000325,ACQ000489,CMP00002,Dining Rewards Boost,2025-02-09,92.32
RDM000326,ACQ000492,CMP00002,Dining Rewards Boost,2025-03-09,151.51
RDM000327,ACQ000493,CMP00002,Dining Rewards Boost,2025-02-03,164.41
RDM000328,ACQ000494,CMP00002,Dining Rewards Boost,2025-01-18,295.92
RDM000329,ACQ000496,CMP00002,Dining Rewards Boost,2025-03-14,70.9
RDM000330,ACQ000497,CMP00002,Dining Rewards Boost,2025-02-01,81.4
RDM000331,ACQ000498,CMP00002,Dining Rewards Boost,2025-02-11,125.91
RDM000332,ACQ000500,CMP00002,Dining Rewards Boost,2025-02-21,236.32
RDM000333,ACQ000501,CMP00002,Dining Rewards Boost,2025-02-20,249.28
RDM000334,ACQ000503,CMP00002,Dining Rewards Boost,2025-03-27,127.73
RDM000335,ACQ000504,CMP00002,Dining Rewards Boost,2025-02-14,86.89
RDM000336,ACQ000505,CMP00002,Dining Rewards Boost,2025-03-17,233.27
RDM000337,ACQ000506,CMP00002,Dining Rewards Boost,2025-02-26,180.02
RDM000338,ACQ000508,CMP00002,Dining Rewards Boost,2025-02-23,288.76
RDM000339,ACQ000509,CMP00002,Dining Rewards Boost,2025-03-16,246.34
