customer_id,true_persona,travel,dining,grocery,online_shopping,gas,entertainment,utilities_bills
ACQ000060,Frequent Traveler,571.54,261.49,137.36,193.88,80.5,163.07,237.74
ACQ000061,Online Shopper,56.36,101.06,102.9,436.27,48.64,160.02,109.72
ACQ000062,Dining Enthusiast,146.7,643.21,200.42,287.55,144.16,206.91,175.54
ACQ000063,Online Shopper,32.37,65.14,68.51,298.47,34.12,102.42,62.23
ACQ000064,Everyday Essentials,47.19,97.75,256.77,90.74,186.11,44.39,179.24
ACQ000065,Dining Enthusiast,106.1,469.09,167.08,219.14,110.69,173.07,139.5
ACQ000066,Everyday Essentials,47.51,99.57,294.3,101.24,205.69,49.02,196.13
ACQ000067,Online Shopper,53.89,100.33,101.4,482.16,48.37,140.97,97.89
ACQ000068,Balanced Spender,98.14,96.41,94.77,95.04,90.46,101.81,98.64
ACQ000069,Dining Enthusiast,81.96,342.27,121.39,150.25,77.86,115.01,94.99
ACQ000070,Online Shopper,43.06,86.26,79.7,369.9,42.39,125.79,87.58
ACQ000071,Everyday Essentials,55.46,117.28,319.24,112.91,216.8,52.53,187.85
ACQ000072,Balanced Spender,97.83,99.5,101.37,105.0,100.97,104.85,101.52
ACQ000073,Balanced Spender,198.88,206.8,186.81,190.63,202.71,233.47,219.39
ACQ000074,Everyday Essentials,86.73,164.72,472.98,162.4,342.83,81.25,333.92
ACQ000075,Frequent Traveler,226.19,105.18,54.65,69.76,29.91,66.2,95.47
ACQ000076,Dining Enthusiast,109.21,482.2,169.0,177.78,101.16,141.85,142.85
ACQ000077,Everyday Essentials,80.22,156.63,480.19,166.39,322.85,73.88,328.21
ACQ000078,Balanced Spender,250.2,231.63,239.45,224.73,255.98,239.02,247.75
ACQ000079,Everyday Essentials,61.73,124.12,376.99,115.38,251.42,59.42,245.33
ACQ000080,Balanced Spender,142.47,134.7,120.63,150.15,138.89,144.11,160.6
ACQ000081,Online Shopper,57.67,108.74,116.06,495.74,52.73,158.45,113.36
ACQ000082,Everyday Essentials,88.8,170.33,538.93,182.21,350.96,90.7,379.01
ACQ000083,Balanced Spender,209.68,222.19,210.98,217.47,208.51,224.18,209.39
ACQ000084,Balanced Spender,99.87,79.67,94.36,94.65,94.64,111.27,99.23
ACQ000085,Dining Enthusiast,80.52,357.74,125.41,154.63,81.86,123.54,109.46
ACQ000086,Frequent Traveler,292.88,124.1,71.86,108.21,46.78,89.69,141.56
ACQ000087,Everyday Essentials,73.96,159.06,505.08,161.23,339.2,80.38,320.81
ACQ000088,Frequent Traveler,521.81,222.77,113.58,184.44,70.26,145.79,188.36
ACQ000089,Frequent Traveler,497.97,220.13,112.79,158.59,71.91,138.4,197.42
ACQ000090,Frequent Traveler,269.17,123.65,61.86,93.3,42.43,83.7,127.86
ACQ000091,Everyday Essentials,36.36,76.34,246.55,73.78,145.0,38.65,153.85
ACQ000092,Everyday Essentials,79.71,175.14,535.04,159.42,312.19,82.51,343.03
ACQ000093,Frequent Traveler,245.18,107.65,53.02,90.19,38.09,71.59,102.68
ACQ000094,Balanced Spender,105.68,110.2,108.9,109.28,104.82,116.09,112.46
ACQ000095,Everyday Essentials,50.65,100.96,297.14,111.05,198.12,52.46,214.48
ACQ000096,Online Shopper,48.83,93.38,98.87,420.71,46.82,138.76,89.91
ACQ000097,Online Shopper,79.74,162.12,164.58,798.93,75.23,239.0,156.51
ACQ000098,Frequent Traveler,407.87,176.8,88.54,130.11,58.88,113.05,155.06
ACQ000099,Frequent Traveler,281.18,125.5,63.55,112.87,39.63,82.44,125.72
ACQ000100,Balanced Spender,136.54,128.86,131.87,137.17,139.58,149.68,145.48
ACQ000101,Online Shopper,45.09,91.99,89.66,383.95,43.16,140.92,88.97
ACQ000102,Dining Enthusiast,108.23,498.33,161.86,200.52,116.43,160.63,126.59
ACQ000103,Dining Enthusiast,102.93,466.85,172.09,200.65,110.22,149.95,137.92
ACQ000104,Frequent Traveler,544.46,271.1,142.39,229.48,87.23,178.07,256.26
ACQ000105,Balanced Spender,115.39,120.91,126.01,112.35,123.1,139.1,119.63
ACQ000106,Dining Enthusiast,87.04,395.82,128.89,188.03,94.14,136.47,108.88
ACQ000107,Dining Enthusiast,114.56,470.45,165.56,209.13,119.79,160.72,146.11
ACQ000108,Everyday Essentials,73.72,140.9,451.02,130.99,282.88,74.5,301.13
ACQ000109,Online Shopper,62.43,125.5,109.14,541.4,60.33,175.25,111.57
ACQ000110,Balanced Spender,211.92,235.91,214.82,211.01,238.08,243.83,233.12
ACQ000111,Balanced Spender,187.15,167.2,174.52,194.17,173.45,192.7,208.19
ACQ000112,Balanced Spender,168.07,158.7,156.82,159.67,168.79,164.73,176.6
ACQ000113,Everyday Essentials,31.44,62.03,182.26,55.66,125.22,32.4,127.33
ACQ000114,Everyday Essentials,61.07,118.41,353.5,120.55,231.92,55.74,218.14
ACQ000115,Balanced Spender,226.88,238.13,248.34,261.22,246.05,263.03,281.36
ACQ000116,Online Shopper,45.94,102.1,100.02,420.28,48.16,142.16,93.73
ACQ000117,Everyday Essentials,45.13,87.07,266.91,87.49,172.65,41.33,182.7
ACQ000118,Frequent Traveler,498.31,214.78,105.73,173.4,71.96,153.33,211.7
ACQ000119,Balanced Spender,103.54,113.31,101.62,112.66,119.19,119.63,110.67
ACQ000120,Everyday Essentials,81.55,152.15,462.36,146.05,312.29,80.08,331.46
ACQ000121,Frequent Traveler,221.47,91.49,50.09,76.85,30.36,59.76,90.98
ACQ000122,Frequent Traveler,328.2,154.15,87.06,115.21,50.48,100.22,139.1
ACQ000123,Dining Enthusiast,115.41,475.52,168.42,202.33,108.28,160.52,146.94
ACQ000124,Frequent Traveler,401.98,166.67,92.37,139.33,58.67,113.74,170.38
ACQ000125,Dining Enthusiast,72.66,327.46,107.2,146.2,80.94,126.56,92.17
ACQ000126,Online Shopper,29.47,65.4,59.65,277.38,30.51,85.48,59.68
ACQ000127,Frequent Traveler,586.72,241.5,135.7,189.61,74.45,158.76,230.62
ACQ000128,Balanced Spender,176.71,185.49,194.73,177.47,170.37,192.59,190.01
ACQ000129,Online Shopper,67.92,133.38,133.89,602.27,64.1,211.25,138.96
ACQ000130,Dining Enthusiast,122.11,474.09,179.41,240.23,124.54,173.92,149.59
ACQ000131,Dining Enthusiast,60.97,254.05,91.43,102.35,59.69,91.87,67.44
ACQ000132,Everyday Essentials,52.37,97.7,295.65,98.44,200.65,51.97,198.54
ACQ000133,Dining Enthusiast,133.0,609.09,208.46,260.28,121.6,217.26,177.26
ACQ000134,Frequent Traveler,262.52,115.98,66.56,88.64,37.98,79.27,110.86
ACQ000135,Frequent Traveler,454.17,178.82,102.92,143.69,56.98,121.4,183.3
ACQ000136,Frequent Traveler,247.52,113.28,58.2,96.98,36.65,75.72,113.77
ACQ000137,Balanced Spender,124.06,134.98,137.22,131.07,136.17,142.43,128.21
ACQ000138,Frequent Traveler,315.6,112.27,69.63,98.28,39.33,83.42,121.04
ACQ000139,Frequent Traveler,510.77,212.54,105.76,158.08,68.77,154.12,212.66
ACQ000140,Online Shopper,40.76,83.05,79.7,349.59,40.37,123.82,82.26
ACQ000141,Frequent Traveler,387.83,171.91,93.46,154.89,61.55,113.83,180.72
ACQ000142,Frequent Traveler,569.31,239.75,129.18,190.8,79.99,148.45,245.53
ACQ000143,Balanced Spender,125.04,126.61,127.34,129.13,130.53,116.37,145.23
ACQ000144,Balanced Spender,221.69,236.68,265.58,254.08,261.61,284.4,260.07
ACQ000145,Everyday Essentials,69.75,126.85,377.73,127.47,247.29,62.87,244.66
ACQ000146,Frequent Traveler,287.29,118.64,62.87,103.47,41.94,78.51,139.23
ACQ000147,Balanced Spender,98.36,102.85,108.45,98.2,88.11,115.55,123.39
ACQ000148,Online Shopper,58.92,104.59,119.74,513.5,58.01,163.22,104.28
ACQ000149,Balanced Spender,207.39,210.36,218.66,198.56,199.73,228.38,236.71
ACQ000150,Frequent Traveler,314.88,127.93,70.24,107.25,43.41,79.64,132.83
ACQ000151,Balanced Spender,176.34,174.3,179.1,177.92,176.52,200.61,180.7
ACQ000152,Online Shopper,59.05,112.66,109.58,551.18,59.04,178.58,122.63
ACQ000153,Everyday Essentials,82.43,151.68,415.52,155.57,300.84,75.63,339.32
ACQ000154,Dining Enthusiast,49.35,216.46,78.45,94.3,48.44,83.14,59.45
ACQ000155,Balanced Spender,192.6,191.38,201.53,178.33,188.84,198.41,186.33
ACQ000156,Frequent Traveler,388.16,164.29,90.63,130.95,54.89,118.45,183.24
ACQ000157,Dining Enthusiast,128.85,551.8,172.93,222.97,129.02,192.45,153.94
ACQ000158,Dining Enthusiast,117.64,464.16,158.32,196.87,114.83,166.21,139.71
ACQ000159,Everyday Essentials,90.15,180.53,482.96,176.95,372.15,88.44,353.13
ACQ000160,Frequent Traveler,305.92,112.4,62.42,92.28,39.8,75.76,117.26
ACQ000161,Everyday Essentials,46.55,99.62,294.1,101.76,194.75,45.83,190.22
ACQ000162,Everyday Essentials,32.9,63.98,209.71,63.26,130.23,32.65,117.35
ACQ000163,Everyday Essentials,37.82,82.42,235.39,74.58,139.62,37.03,163.27
ACQ000164,Frequent Traveler,503.87,212.27,109.37,175.33,72.2,153.77,217.69
ACQ000165,Balanced Spender,167.05,155.06,173.68,174.14,154.87,171.68,184.82
ACQ000166,Frequent Traveler,492.5,217.09,111.47,156.94,69.11,146.21,231.25
ACQ000167,Online Shopper,91.15,173.18,176.55,794.3,90.53,259.96,184.12
ACQ000168,Everyday Essentials,37.63,77.28,232.69,74.17,151.71,38.2,155.67
ACQ000169,Balanced Spender,204.68,211.76,205.34,199.95,227.33,216.61,234.47
ACQ000170,Everyday Essentials,58.49,119.97,347.31,115.61,234.53,60.73,221.06
ACQ000171,Dining Enthusiast,100.32,420.91,138.17,171.88,93.32,147.87,125.61
ACQ000172,Balanced Spender,229.4,217.52,225.08,244.53,225.34,238.61,237.02
ACQ000173,Dining Enthusiast,156.07,630.13,203.65,274.12,130.98,213.68,167.8
ACQ000174,Balanced Spender,180.66,207.2,188.37,221.89,212.59,223.18,215.9
ACQ000175,Dining Enthusiast,79.96,351.65,121.32,157.86,83.88,122.03,97.33
ACQ000176,Balanced Spender,95.54,96.28,112.96,106.02,108.85,106.31,111.33
ACQ000177,Frequent Traveler,440.42,192.77,95.2,150.91,56.79,122.64,193.28
ACQ000178,Balanced Spender,194.98,196.58,193.75,209.81,201.44,201.09,213.44
ACQ000179,Frequent Traveler,334.0,138.36,71.46,103.98,46.24,89.8,138.43
ACQ000180,Online Shopper,42.22,83.59,81.63,387.95,47.6,128.84,83.4
ACQ000181,Everyday Essentials,61.87,126.73,352.8,129.72,262.23,58.9,258.52
ACQ000182,Everyday Essentials,52.43,102.28,336.08,117.11,217.56,50.64,222.97
ACQ000183,Balanced Spender,202.05,203.89,205.45,182.21,201.37,211.64,199.45
ACQ000184,Online Shopper,82.75,158.76,168.45,770.09,86.83,282.8,171.42
ACQ000185,Frequent Traveler,489.89,200.06,108.24,160.21,71.34,146.28,213.85
ACQ000186,Everyday Essentials,52.89,97.08,311.8,103.36,184.44,50.44,214.63
ACQ000187,Everyday Essentials,76.92,137.42,389.06,145.32,279.82,70.53,274.36
ACQ000188,Online Shopper,40.55,76.18,81.98,319.04,36.41,116.15,76.86
ACQ000189,Dining Enthusiast,121.44,515.37,198.59,236.21,127.12,179.95,146.81
ACQ000190,Dining Enthusiast,57.48,284.4,94.41,119.6,66.43,93.41,78.1
ACQ000191,Everyday Essentials,76.87,162.03,438.64,151.04,306.53,81.51,274.71
ACQ000192,Online Shopper,49.88,99.33,102.43,439.88,51.8,148.71,96.43
ACQ000193,Everyday Essentials,90.9,185.19,532.22,176.27,331.69,84.07,344.15
ACQ000194,Frequent Traveler,291.01,133.01,68.02,105.37,42.68,92.05,138.0
ACQ000195,Frequent Traveler,219.74,89.79,50.12,73.63,29.77,64.33,94.19
ACQ000196,Online Shopper,83.45,162.99,158.6,710.43,81.45,245.79,172.43
ACQ000197,Balanced Spender,138.58,146.11,142.12,141.49,132.43,145.16,140.33
ACQ000198,Balanced Spender,159.09,152.0,174.53,163.2,169.46,180.94,161.51
ACQ000199,Dining Enthusiast,125.87,531.74,189.78,218.98,122.7,188.89,144.54
ACQ000200,Balanced Spender,225.12,256.34,229.78,264.93,225.91,235.24,258.35
ACQ000201,Online Shopper,88.27,170.64,180.38,720.38,95.65,256.36,164.16
ACQ000202,Online Shopper,50.91,111.32,120.66,490.41,56.19,177.29,107.92
ACQ000203,Balanced Spender,119.51,107.0,111.39,110.49,104.73,135.96,120.49
ACQ000204,Everyday Essentials,76.96,150.96,468.39,161.3,323.71,80.04,318.18
ACQ000205,Frequent Traveler,520.34,194.68,112.44,174.5,65.7,134.86,182.83
ACQ000206,Dining Enthusiast,51.88,211.45,73.87,96.24,46.71,76.41,62.59
ACQ000207,Dining Enthusiast,74.22,339.22,110.93,150.77,75.46,115.55,94.75
ACQ000208,Balanced Spender,108.37,136.93,119.56,119.2,121.28,131.79,140.47
ACQ000209,Everyday Essentials,56.26,120.32,310.5,114.52,231.37,61.73,260.58
ACQ000210,Dining Enthusiast,100.58,415.26,157.78,186.27,94.48,140.06,119.31
ACQ000211,Balanced Spender,181.2,183.82,184.16,181.25,181.52,186.85,212.75
ACQ000212,Balanced Spender,226.87,226.92,235.8,221.8,208.46,234.97,235.43
ACQ000213,Dining Enthusiast,84.51,351.1,111.58,156.12,83.47,120.74,108.68
ACQ000214,Balanced Spender,137.77,146.4,162.16,152.29,138.84,159.99,161.31
ACQ000215,Balanced Spender,178.78,176.1,195.09,180.99,200.1,199.71,186.46
ACQ000216,Online Shopper,82.3,165.18,169.34,773.38,93.52,247.27,182.02
ACQ000217,Dining Enthusiast,75.18,342.68,131.4,149.65,81.7,115.14,107.79
ACQ000218,Dining Enthusiast,62.83,267.18,103.1,116.08,64.19,90.5,84.65
ACQ000219,Everyday Essentials,54.18,110.25,357.81,122.71,237.2,59.52,227.62
ACQ000220,Dining Enthusiast,54.1,222.05,74.51,93.11,54.73,84.93,65.21
ACQ000221,Dining Enthusiast,122.93,602.1,232.52,277.25,137.79,210.7,174.02
ACQ000222,Frequent Traveler,328.45,134.36,80.17,105.79,43.11,92.03,136.03
ACQ000223,Frequent Traveler,461.03,201.41,104.77,149.6,60.9,118.79,189.12
ACQ000224,Frequent Traveler,409.0,173.02,92.72,146.64,64.43,118.38,187.08
ACQ000225,Everyday Essentials,85.76,166.72,453.78,165.07,310.75,76.22,327.77
ACQ000226,Everyday Essentials,79.37,159.2,456.41,158.77,325.01,84.19,325.85
ACQ000227,Online Shopper,35.76,71.43,82.45,342.46,35.96,118.79,75.13
ACQ000228,Balanced Spender,178.96,174.48,155.65,179.08,173.3,187.87,202.22
ACQ000229,Balanced Spender,224.72,214.04,212.36,209.54,227.97,258.91,220.84
ACQ000230,Balanced Spender,133.27,139.82,122.63,131.31,140.53,154.08,148.63
ACQ000231,Online Shopper,66.05,137.8,134.42,621.86,62.17,185.78,143.91
ACQ000232,Frequent Traveler,539.09,247.12,120.1,190.36,78.65,147.38,248.8
ACQ000233,Balanced Spender,85.22,86.15,95.65,97.44,84.47,92.87,83.06
ACQ000234,Online Shopper,76.49,174.3,169.06,715.5,82.77,247.4,158.87
ACQ000235,Everyday Essentials,91.26,171.17,480.08,177.69,344.48,80.99,322.16
ACQ000236,Online Shopper,84.1,173.53,167.01,809.32,90.44,253.59,156.02
ACQ000237,Everyday Essentials,64.43,127.89,424.27,134.42,277.1,65.23,276.9
ACQ000238,Balanced Spender,191.21,188.21,196.26,183.06,201.27,193.14,205.86
ACQ000239,Frequent Traveler,362.88,165.67,88.26,127.74,63.14,109.7,176.6
ACQ000240,Online Shopper,53.34,116.39,109.53,543.25,60.02,177.58,120.33
ACQ000241,Balanced Spender,141.94,152.68,153.12,153.47,158.88,184.1,157.41
ACQ000242,Everyday Essentials,34.6,69.1,205.58,63.34,140.26,35.47,136.08
ACQ000243,Everyday Essentials,33.29,64.28,196.36,60.09,126.9,34.05,128.98
ACQ000244,Frequent Traveler,557.65,262.43,134.86,186.9,78.22,165.68,241.44
ACQ000245,Dining Enthusiast,130.15,605.73,185.1,259.57,127.78,187.49,168.81
ACQ000246,Dining Enthusiast,64.95,267.74,109.49,126.89,66.15,101.23,89.99
ACQ000247,Frequent Traveler,273.76,107.29,53.14,95.34,37.81,65.35,102.98
ACQ000248,Frequent Traveler,396.69,162.21,91.49,131.88,57.5,112.79,169.16
ACQ000249,Frequent Traveler,475.93,223.2,111.43,153.76,71.74,135.89,195.34
ACQ000250,Dining Enthusiast,77.93,378.77,126.01,149.02,83.65,117.5,94.63
ACQ000251,Dining Enthusiast,73.94,322.29,99.07,125.01,71.46,115.41,86.36
ACQ000252,Online Shopper,38.94,73.28,83.65,343.35,39.75,117.15,79.83
ACQ000253,Frequent Traveler,407.77,157.37,81.96,139.82,52.23,118.26,177.01
ACQ000254,Online Shopper,80.99,196.39,188.87,767.06,91.69,276.76,167.06
ACQ000255,Balanced Spender,206.44,204.92,196.77,190.94,186.1,207.76,224.4
ACQ000256,Dining Enthusiast,133.86,577.79,184.78,236.16,132.88,179.49,161.72
ACQ000257,Frequent Traveler,364.45,148.58,73.62,124.64,52.45,92.15,144.11
ACQ000258,Balanced Spender,109.03,120.19,112.94,110.13,108.41,112.45,131.98
ACQ000259,Dining Enthusiast,87.18,381.31,140.66,174.23,88.52,136.13,106.49
ACQ000260,Balanced Spender,193.36,181.73,177.84,197.46,182.21,199.48,181.18
ACQ000261,Dining Enthusiast,146.4,620.87,202.13,233.51,135.08,217.68,177.76
ACQ000262,Balanced Spender,106.63,115.82,106.92,110.9,107.09,115.31,112.77
ACQ000263,Frequent Traveler,407.34,173.23,99.61,147.84,59.33,122.42,157.17
ACQ000264,Dining Enthusiast,76.83,345.88,119.96,149.44,85.4,117.0,93.72
ACQ000265,Everyday Essentials,54.51,101.36,280.55,102.32,228.36,52.26,221.06
ACQ000266,Everyday Essentials,82.95,165.38,471.78,176.2,339.22,80.69,337.32
ACQ000267,Balanced Spender,191.39,177.9,175.55,170.16,168.47,180.11,165.2
ACQ000268,Dining Enthusiast,87.32,398.15,125.48,164.58,93.83,135.16,104.98
ACQ000269,Everyday Essentials,99.76,183.61,575.29,175.85,362.62,92.19,368.85
ACQ000270,Frequent Traveler,316.51,137.27,68.19,104.67,48.82,86.86,138.04
ACQ000271,Balanced Spender,161.27,168.82,183.86,169.91,180.61,186.22,186.47
ACQ000272,Frequent Traveler,403.51,181.97,90.75,147.72,62.72,145.85,169.46
ACQ000273,Online Shopper,59.64,104.26,111.51,480.23,53.7,168.1,91.34
ACQ000274,Online Shopper,88.79,166.82,181.37,822.71,95.71,272.4,183.24
ACQ000275,Frequent Traveler,446.38,208.54,105.82,153.5,64.35,132.8,203.29
ACQ000276,Balanced Spender,193.1,192.79,197.46,189.79,179.99,204.27,208.16
ACQ000277,Dining Enthusiast,89.72,354.37,124.39,151.81,81.02,116.75,99.01
ACQ000278,Online Shopper,87.51,164.33,154.23,781.02,84.77,247.55,161.12
ACQ000279,Dining Enthusiast,147.7,619.45,227.13,283.21,152.49,206.81,184.73
ACQ000280,Dining Enthusiast,55.37,262.66,89.96,114.61,58.11,84.42,73.61
ACQ000281,Balanced Spender,163.88,163.57,163.22,153.89,169.35,161.27,188.73
ACQ000282,Balanced Spender,177.65,172.89,179.01,186.57,182.94,169.27,180.74
ACQ000283,Dining Enthusiast,128.22,600.25,205.49,254.25,149.61,205.46,175.19
ACQ000284,Dining Enthusiast,125.96,595.72,194.64,254.23,123.43,188.46,162.99
ACQ000285,Dining Enthusiast,101.42,436.12,173.56,203.92,99.9,152.36,134.08
ACQ000286,Everyday Essentials,61.51,128.63,390.66,115.14,227.6,63.33,251.73
ACQ000287,Everyday Essentials,71.48,141.83,435.31,133.66,313.18,74.91,301.5
ACQ000288,Balanced Spender,124.25,137.91,126.17,131.53,126.29,143.84,153.08
ACQ000289,Dining Enthusiast,101.52,462.49,140.03,209.39,109.44,149.69,132.14
ACQ000290,Balanced Spender,204.33,213.63,202.35,189.72,197.82,222.67,223.32
ACQ000291,Frequent Traveler,332.11,154.74,85.99,113.52,53.48,103.26,150.26
ACQ000292,Balanced Spender,213.22,209.45,205.62,206.32,197.01,221.95,229.83
ACQ000293,Balanced Spender,100.89,106.71,119.26,109.4,109.26,113.9,117.41
ACQ000294,Dining Enthusiast,117.7,490.34,174.06,205.58,108.08,175.01,142.91
ACQ000295,Dining Enthusiast,76.48,353.38,112.94,135.54,77.94,110.63,96.59
ACQ000296,Online Shopper,63.96,145.65,140.47,630.5,69.13,203.53,129.75
ACQ000297,Online Shopper,54.65,111.42,116.4,470.62,59.05,149.2,101.63
ACQ000298,Online Shopper,44.96,83.51,86.72,367.08,42.21,128.96,85.21
ACQ000299,Online Shopper,79.89,175.5,166.6,745.23,86.3,253.44,159.88
ACQ000300,Dining Enthusiast,114.35,492.72,171.51,219.54,118.86,179.61,148.22
ACQ000301,Everyday Essentials,53.17,99.9,324.82,100.14,216.28,52.29,192.59
ACQ000302,Balanced Spender,96.04,90.31,85.4,90.01,85.97,104.97,100.34
ACQ000303,Balanced Spender,196.66,190.59,198.99,200.64,191.04,198.47,210.24
ACQ000304,Online Shopper,73.89,150.57,159.6,740.86,87.56,215.18,156.25
ACQ000305,Everyday Essentials,65.65,146.78,410.12,141.9,289.24,67.31,297.62
ACQ000306,Dining Enthusiast,131.84,530.83,191.69,239.92,126.27,181.18,157.49
ACQ000307,Frequent Traveler,248.9,101.66,59.09,81.9,39.54,69.95,93.51
ACQ000308,Dining Enthusiast,95.3,443.1,153.78,196.71,98.69,145.52,121.79
ACQ000309,Frequent Traveler,226.01,106.75,56.39,77.87,34.14,64.52,99.17
ACQ000310,Balanced Spender,136.64,137.1,122.72,122.53,127.39,137.12,137.66
ACQ000311,Balanced Spender,128.31,130.29,133.65,128.3,142.72,132.48,147.38
ACQ000312,Frequent Traveler,295.48,132.84,72.03,102.82,43.33,97.8,135.25
ACQ000313,Dining Enthusiast,72.55,327.26,104.61,137.49,72.7,113.23,93.19
ACQ000314,Dining Enthusiast,52.8,227.94,80.78,100.34,53.42,78.24,63.45
ACQ000315,Everyday Essentials,87.86,166.97,483.13,180.24,318.6,86.9,347.45
ACQ000316,Balanced Spender,87.93,100.95,89.55,112.33,96.51,109.56,104.08
ACQ000317,Online Shopper,47.59,89.2,95.61,390.96,42.39,141.34,87.3
ACQ000318,Online Shopper,78.99,169.69,174.87,749.74,82.09,252.67,164.5
ACQ000319,Everyday Essentials,45.64,91.11,271.94,92.22,183.38,46.12,181.18
